Proteome_ID,Tax_ID,SUPERREGNUM
UP000278651,1046893,viruses
UP000639877,2774334,bacteria
UP000228755,2052656,bacteria
UP000203873,368736,viruses
UP000682376,2786698,viruses
UP000006054,880071,bacteria
UP000204094,1821561,viruses
UP000053675,472175,bacteria
UP000202515,1922858,viruses
UP000427882,45769,viruses
UP000646638,2692821,bacteria
UP000680674,2786602,viruses
UP000191200,519472,bacteria
UP000239589,2052836,bacteria
UP000574210,58203,eukaryota
UP000000601,224915,bacteria
UP000460669,2690254,bacteria
UP000187495,1122245,bacteria
UP000054266,1851006,eukaryota
UP000887840,1922855,viruses
UP000250079,1192854,bacteria
UP000252564,2231350,viruses
UP000676352,2786525,viruses
UP000001916,526227,bacteria
UP000295568,2530116,viruses
UP000322717,2583190,viruses
UP000240564,2079288,viruses
UP000000353,299386,viruses
UP000233781,173053,bacteria
UP000203896,1222338,viruses
UP000324267,2585425,viruses
UP000199354,490189,bacteria
UP000001542,412133,eukaryota
UP000179907,657387,bacteria
UP000676448,2786266,viruses
UP000248480,127582,eukaryota
UP001056883,2948611,viruses
UP000243909,580254,viruses
UP000464732,2696378,viruses
UP000483018,1450156,bacteria
UP000516798,2746235,viruses
UP000003226,1163407,bacteria
UP000129753,1110710,viruses
UP000204301,1838062,viruses
UP000324405,2585387,viruses
UP000000458,1141135,viruses
UP000595260,2790994,viruses
UP000203677,1803898,viruses
UP000201464,67761,viruses
UP000202514,1923665,viruses
UP000186406,1123029,bacteria
UP000323142,1638099,bacteria
UP000267342,33074,bacteria
UP000115701,1586324,viruses
UP000310668,1965284,eukaryota
UP000246833,1851219,viruses
UP000251713,2234025,viruses
UP000289243,2003592,bacteria
UP000001640,1064592,eukaryota
UP000604793,2760020,bacteria
UP000679584,2719116,viruses
UP000179284,185008,bacteria
UP000003784,391598,bacteria
UP000289925,2364644,viruses
UP000297737,2511025,bacteria
UP000258408,2250336,viruses
UP000681260,2496634,viruses
UP000296748,2558561,viruses
UP000105286,1574629,viruses
UP000008243,309800,archaea
UP000203723,1923545,viruses
UP000504772,2736194,viruses
UP000680103,2786593,viruses
UP000316747,412689,bacteria
UP000034150,1807,bacteria
UP000245119,400727,eukaryota
UP000246903,2178923,viruses
UP000193006,199441,bacteria
UP000218542,1284222,bacteria
UP000201229,1923617,viruses
UP000203423,1922902,viruses
UP000202741,1955493,viruses
UP000198626,1855374,bacteria
UP000002960,908612,bacteria
UP000274386,1968541,bacteria
UP000296494,2548266,viruses
UP000236356,2067550,bacteria
UP000184040,313368,bacteria
UP000502041,37448,bacteria
UP000326509,1397112,bacteria
UP000005245,1191380,viruses
UP000185596,1912961,bacteria
UP000231485,1837877,viruses
UP000003263,575593,bacteria
UP000121557,1506569,viruses
UP000240206,1910958,bacteria
UP000596977,2029865,bacteria
UP000002941,1125718,bacteria
UP000032688,1572754,viruses
UP000202454,1922627,viruses
UP000301260,756278,viruses
UP000811545,2986056,bacteria
UP000219020,1927127,bacteria
UP000049455,313367,bacteria
UP000042527,162,bacteria
UP000682738,2746248,viruses
UP000236317,2035435,bacteria
UP000593563,4045,eukaryota
UP000029224,990268,bacteria
UP000035352,413882,bacteria
UP000222511,1647553,viruses
UP000011750,3711,eukaryota
UP000231638,366522,bacteria
UP000293459,1969741,viruses
UP000203303,1485012,viruses
UP000534388,2758569,bacteria
UP000199484,1884352,bacteria
UP000251577,2055947,bacteria
UP000006677,36394,viruses
UP000271003,2494234,bacteria
UP000018260,1263011,bacteria
UP000203231,1923677,viruses
UP000006713,185783,viruses
UP000305560,1840703,bacteria
UP000501074,2301728,viruses
UP000030380,505317,bacteria
UP000054107,35722,eukaryota
UP000007460,488538,bacteria
UP000278983,2490854,bacteria
UP000078224,1354272,bacteria
UP000509179,2052176,bacteria
UP000239203,155976,bacteria
UP000295097,293089,bacteria
UP000014830,1330035,bacteria
UP000033718,1609970,bacteria
UP000223527,1335062,bacteria
UP000307430,2582917,bacteria
UP000216752,1123289,bacteria
UP000255813,2202135,viruses
UP000296874,2548053,viruses
UP000094236,669874,eukaryota
UP000242946,1129873,viruses
UP000229296,2041210,viruses
UP000051655,1616,bacteria
UP000479710,110450,eukaryota
UP000000774,203123,bacteria
UP000006711,37206,viruses
UP001064093,2939039,viruses
UP000202644,1592828,viruses
UP000500751,2656690,viruses
UP000245469,317664,bacteria
UP000019730,1416334,viruses
UP000246145,305977,bacteria
UP000533379,2723070,bacteria
UP000237640,1080225,bacteria
UP000001931,339860,archaea
UP000126130,10512,viruses
UP000326486,2599890,viruses
UP000030329,908819,viruses
UP000029755,1554492,viruses
UP000094058,1849261,archaea
UP000002677,83406,bacteria
UP000201738,754049,viruses
UP000466785,39694,bacteria
UP000195889,1965616,bacteria
UP000202800,1922799,viruses
UP000701853,47600,eukaryota
UP000663444,404405,bacteria
UP000509630,2099675,bacteria
UP000601171,2763679,bacteria
UP000275028,2419618,viruses
UP000207625,1923129,viruses
UP000308489,1498,bacteria
UP000007795,12318,viruses
UP000318521,2597270,bacteria
UP000290319,2364646,viruses
UP000323420,2607730,bacteria
UP000183376,211114,bacteria
UP000222201,1932891,viruses
UP000199275,1855351,bacteria
UP000238072,2070414,eukaryota
UP000201915,1873889,viruses
UP000595255,2801478,viruses
UP000017640,1335757,bacteria
UP001060063,2971101,viruses
UP000203122,1923594,viruses
UP000433883,5025,eukaryota
UP000171537,1457322,viruses
UP000552644,1706840,bacteria
UP000470823,1962908,bacteria
UP000204447,362398,viruses
UP000324748,56615,eukaryota
UP000676068,2786386,viruses
UP000676187,2684265,viruses
UP000024284,1219045,bacteria
UP000034680,1214573,eukaryota
UP000005392,997347,bacteria
UP000199094,1855384,bacteria
UP000538515,73324,eukaryota
UP000111778,746831,viruses
UP000246787,2163629,viruses
UP000202879,710112,viruses
UP000516089,2767564,viruses
UP000515525,2586959,viruses
UP000005627,4950,eukaryota
UP000202022,1273752,viruses
UP000007661,85617,viruses
UP000326062,9886,eukaryota
UP000186351,1796646,bacteria
UP000186132,1206085,bacteria
UP000029320,1437433,eukaryota
UP000220840,137838,bacteria
UP000056466,186490,bacteria
UP000296556,2562177,viruses
UP000018802,1416032,viruses
UP000199451,660521,archaea
UP000593642,2776848,viruses
UP000646211,2023265,bacteria
UP000238882,1137780,bacteria
UP000001274,748280,bacteria
UP000324791,2584804,viruses
UP000202084,1923380,viruses
UP000299580,55213,bacteria
UP000051679,1291052,bacteria
UP000131223,1985391,viruses
UP000602348,2758412,bacteria
UP000226269,1340769,viruses
UP000510621,2799669,bacteria
UP000187012,1247936,bacteria
UP000029751,1560035,viruses
UP000032343,1619232,bacteria
